LGAID,PRID,Local Government Area,PSAID
0,0,Banyule,1
1,0,Brimbank,7
2,0,Darebin,12
3,0,Hobsons Bay,18
4,0,Hume,20
5,0,Maribyrnong,26
6,0,Melbourne,28
7,0,Melton,29
8,0,Merri-bek,30
9,0,Moonee Valley,34
10,0,Nillumbik,37
11,0,Whittlesea,49
12,0,Wyndham,51
13,0,Yarra,52
14,1,Alpine,45
15,1,Bass Coast,2
16,1,Baw Baw,3
17,1,Benalla,4
18,1,Boroondara,6
19,1,East Gippsland,13
20,1,Greater Shepparton,40
21,1,Indigo,50
22,1,Knox,22
23,1,Latrobe,23
24,1,Manningham,25
25,1,Mansfield,4
26,1,Maroondah,27
27,1,Mitchell,32
28,1,Moira,45
29,1,Monash,33
30,1,Murrindindi,4
31,1,South Gippsland,2
32,1,Strathbogie,32
33,1,Towong,50
34,1,Wangaratta,45
35,1,Wellington,47
36,1,Whitehorse,48
37,1,Wodonga,50
38,1,Yarra Ranges,53
39,2,Bayside,16
40,2,Cardinia,9
41,2,Casey,10
42,2,Frankston,14
43,2,Glen Eira,16
44,2,Greater Dandenong,17
45,2,Kingston,21
46,2,Mornington Peninsula,36
47,2,Port Phillip,39
48,2,Stonnington,42
49,3,Ararat,38
50,3,Ballarat,0
51,3,Buloke,44
52,3,Campaspe,8
53,3,Central Goldfields,11
54,3,Colac-Otway,43
55,3,Corangamite,46
56,3,Gannawarra,44
57,3,Glenelg,41
58,3,Golden Plains,35
59,3,Greater Bendigo,5
60,3,Greater Geelong,15
61,3,Hepburn,35
62,3,Hindmarsh,19
63,3,Horsham,19
64,3,Loddon,11
65,3,Macedon Ranges,24
66,3,Mildura,31
67,3,Moorabool,35
68,3,Mount Alexander,24
69,3,Moyne,46
70,3,Northern Grampians,38
71,3,Pyrenees,0
72,3,Queenscliffe,15
73,3,Southern Grampians,41
74,3,Surf Coast,43
75,3,Swan Hill,44
76,3,Warrnambool,46
77,3,West Wimmera,19
78,3,Yarriambiack,38
79,4,Justice Institutions and Immigration Facilities,
80,5,Unincorporated Vic,
