LID,Local Government Area,Postcode,Suburb/Town Name
0,Alpine,3691,Dederang
1,Alpine,3691,Glen Creek
2,Alpine,3691,Gundowring
3,Alpine,3691,Kancoona
4,Alpine,3691,Kergunyah South
5,Alpine,3691,Mongans Bridge
6,Alpine,3691,Running Creek
7,Alpine,3691,Upper Gundowring
8,Alpine,3697,Tawonga
9,Alpine,3698,Tawonga South
10,Alpine,3699,Bogong
11,Alpine,3699,Falls Creek
12,Alpine,3699,Mount Beauty
13,Alpine,3737,Abbeyard
14,Alpine,3737,Barwidgee
15,Alpine,3737,Buffalo River
16,Alpine,3737,Dandongadale
17,Alpine,3737,Gapsted
18,Alpine,3737,Merriang
19,Alpine,3737,Merriang South
20,Alpine,3737,Mudgegonga
21,Alpine,3737,Myrtleford
22,Alpine,3737,Nug Nug
23,Alpine,3737,Rosewhite
24,Alpine,3737,Selwyn
25,Alpine,3737,Wonnangatta
26,Alpine,3738,Ovens
27,Alpine,3739,Eurobin
28,Alpine,3740,Buckland
29,Alpine,3740,Mount Buffalo
30,Alpine,3740,Porepunkah
31,Alpine,3741,Bright
32,Alpine,3741,Freeburgh
33,Alpine,3741,Harrietville
34,Alpine,3741,Hotham Heights
35,Alpine,3741,Smoko
36,Alpine,3744,Wandiligong
37,Alpine,3898,Dinner Plain
38,Ararat,3271,Pura Pura
39,Ararat,3272,Woorndoo
40,Ararat,3293,Glenthompson
41,Ararat,3351,Lake Bolac
42,Ararat,3351,Mininera
43,Ararat,3351,Nerrin Nerrin
44,Ararat,3351,Streatham
45,Ararat,3351,Westmere
46,Ararat,3374,Great Western
47,Ararat,3375,Ballyrogan
48,Ararat,3375,Bayindeen
49,Ararat,3375,Buangor
50,Ararat,3375,Middle Creek
51,Ararat,3377,Ararat
52,Ararat,3377,Armstrong
53,Ararat,3377,Cathcart
54,Ararat,3377,Crowlands
55,Ararat,3377,Denicull Creek
56,Ararat,3377,Dobie
57,Ararat,3377,Dunneworthy
58,Ararat,3377,Eversley
59,Ararat,3377,Langi Logan
60,Ararat,3377,Maroona
61,Ararat,3377,Mount Cole
62,Ararat,3377,Mount Cole Creek
63,Ararat,3377,Moyston
64,Ararat,3377,Norval
65,Ararat,3377,Rhymney
66,Ararat,3377,Rocky Point
67,Ararat,3377,Rossbridge
68,Ararat,3377,Warrak
69,Ararat,3378,Tatyoon
70,Ararat,3378,Yalla-Y-Poora
71,Ararat,3379,Bornes Hill
72,Ararat,3379,Chatsworth
73,Ararat,3379,Mafeking
74,Ararat,3379,Stavely
75,Ararat,3379,Wickliffe
76,Ararat,3379,Willaura
77,Ararat,3379,Willaura North
78,Ararat,3381,Black Range
79,Ararat,3381,Pomonal
80,Ararat,3469,Elmhurst
81,Ararat,3469,Glenlogie
82,Ballarat,3350,Alfredton
83,Ballarat,3350,Bakery Hill
84,Ballarat,3350,Ballarat Central
85,Ballarat,3350,Ballarat East
86,Ballarat,3350,Ballarat North
87,Ballarat,3350,Black Hill
88,Ballarat,3350,Brown Hill
89,Ballarat,3350,Canadian
90,Ballarat,3350,Eureka
91,Ballarat,3350,Golden Point
92,Ballarat,3350,Invermay Park
93,Ballarat,3350,Lake Wendouree
94,Ballarat,3350,Lucas
95,Ballarat,3350,Mount Clear
96,Ballarat,3350,Mount Helen
97,Ballarat,3350,Mount Pleasant
98,Ballarat,3350,Nerrina
99,Ballarat,3350,Newington
100,Ballarat,3350,Redan
101,Ballarat,3350,Soldiers Hill
102,Ballarat,3351,Bo Peep
103,Ballarat,3351,Smythes Creek
104,Ballarat,3352,Addington
105,Ballarat,3352,Blowhard
106,Ballarat,3352,Bonshaw
107,Ballarat,3352,Bunkers Hill
108,Ballarat,3352,Burrumbeet
109,Ballarat,3352,Cardigan
110,Ballarat,3352,Cardigan Village
111,Ballarat,3352,Chapel Flat
112,Ballarat,3352,Durham Lead
113,Ballarat,3352,Ercildoune
114,Ballarat,3352,Glen Park
115,Ballarat,3352,Gong Gong
116,Ballarat,3352,Invermay
117,Ballarat,3352,Learmonth
118,Ballarat,3352,Magpie
119,Ballarat,3352,Miners Rest
120,Ballarat,3352,Mount Bolton
121,Ballarat,3352,Mount Rowan
122,Ballarat,3352,Scotchmans Lead
123,Ballarat,3352,Scotsburn
124,Ballarat,3352,Sulky
125,Ballarat,3352,Warrenheip
126,Ballarat,3352,Waubra
127,Ballarat,3352,Weatherboard
128,Ballarat,3352,Windermere
129,Ballarat,3355,Lake Gardens
130,Ballarat,3355,Mitchell Park
131,Ballarat,3355,Wendouree
132,Ballarat,3356,Delacombe
133,Ballarat,3356,Sebastopol
134,Ballarat,3357,Buninyong
135,Ballarat,3358,Winter Valley
136,Ballarat,3363,Creswick
137,Ballarat,3363,Glendaruel
138,Ballarat,3363,Tourello
139,Ballarat,3364,Ascot
140,Ballarat,3364,Bald Hills
141,Ballarat,3364,Coghills Creek
142,Ballarat,3364,Glendonald
143,Banyule,3079,Ivanhoe
144,Banyule,3079,Ivanhoe East
145,Banyule,3081,Bellfield
146,Banyule,3081,Heidelberg Heights
147,Banyule,3081,Heidelberg West
148,Banyule,3083,Bundoora
149,Banyule,3084,Eaglemont
150,Banyule,3084,Heidelberg
151,Banyule,3084,Ivanhoe East
152,Banyule,3084,Rosanna
153,Banyule,3084,Viewbank
154,Banyule,3085,Macleod
155,Banyule,3085,Yallambie
156,Banyule,3087,Watsonia
157,Banyule,3087,Watsonia North
158,Banyule,3088,Briar Hill
159,Banyule,3088,Greensborough
160,Banyule,3088,St Helena
161,Banyule,3093,Lower Plenty
162,Banyule,3094,Montmorency
163,Banyule,3095,Eltham
164,Banyule,3095,Eltham North
165,Bass Coast,3922,Cowes
166,Bass Coast,3922,Silverleaves
167,Bass Coast,3922,Smiths Beach
168,Bass Coast,3922,Summerlands
169,Bass Coast,3922,Sunderland Bay
170,Bass Coast,3922,Sunset Strip
171,Bass Coast,3922,Surf Beach
172,Bass Coast,3922,Ventnor
173,Bass Coast,3922,Wimbledon Heights
174,Bass Coast,3923,Rhyll
175,Bass Coast,3925,Cape Woolamai
176,Bass Coast,3925,Churchill Island
177,Bass Coast,3925,Newhaven
178,Bass Coast,3925,San Remo
179,Bass Coast,3945,Krowera
180,Bass Coast,3945,Loch
181,Bass Coast,3945,Woodleigh
182,Bass Coast,3951,Kongwak
183,Bass Coast,3951,Outtrim
184,Bass Coast,3979,Almurta
