OSDID,Offence Subdivision,ODID
0,A20 Assault and related offences,0.0
1,A50 Robbery,0.0
2,"A70 Stalking, harassment and threatening behaviour",0.0
3,A80 Dangerous and negligent acts endangering people,0.0
4,B10 Arson,1.0
5,B20 Property damage,1.0
6,B30 Burglary/Break and enter,1.0
7,B40 Theft,1.0
8,B50 Deception,1.0
9,B60 Bribery,1.0
10,C10 Drug dealing and trafficking,2.0
11,C20 Cultivate or manufacture drugs,2.0
12,C30 Drug use and possession,2.0
13,C90 Other drug offences,2.0
14,D10 Weapons and explosives offences,3.0
15,D20 Disorderly and offensive conduct,3.0
16,D30 Public nuisance offences,3.0
17,D40 Public security offences,3.0
18,E10 Justice procedures,4.0
19,E20 Breaches of orders,4.0
20,F10 Regulatory driving offences,5.0
21,F20 Transport regulation offences,5.0
22,F30 Other government regulatory offences,5.0
23,F90 Miscellaneous offences,5.0
24,Other crimes against the person,0.0
25,A10 Homicide and related offences,0.0
26,A30 Sexual offences,0.0
27,A40 Abduction and related offences,0.0
28,A60 Blackmail and extortion,0.0
