OSGID,Offence Subgroup,OSDID
0,A211 FV Serious assault,0.0
1,A212 Non-FV Serious assault,0.0
2,"A22 Assault police, emergency services or other authorised officer",0.0
3,A231 FV Common assault,0.0
4,A232 Non-FV Common assault,0.0
5,A51 Aggravated robbery,1.0
6,A52 Non-Aggravated robbery,1.0
7,A711 FV Stalking,2.0
8,A712 Non-FV Stalking,2.0
9,A721 FV Harassment and private nuisance,2.0
10,A722 Non-FV Harassment and private nuisance,2.0
11,A731 FV Threatening behaviour,2.0
12,A732 Non-FV Threatening behaviour,2.0
13,A81 Dangerous driving,3.0
14,A82 Neglect or ill treatment of people,3.0
15,A83 Throw or discharge object endangering people,3.0
16,A89 Other dangerous or negligent acts endangering people,3.0
17,B11 Cause damage by fire,4.0
18,B12 Cause a bushfire,4.0
19,B19 Other fire related offences,4.0
20,B21 Criminal damage,5.0
21,B22 Graffiti,5.0
22,B29 Other property damage offences,5.0
23,B311 Residential aggravated burglary,6.0
24,B312 Non-residential aggravated burglary,6.0
25,B319 Unknown aggravated burglary,6.0
26,B321 Residential non-aggravated burglary,6.0
27,B322 Non-residential non-aggravated burglary,6.0
28,B329 Unknown non-aggravated burglary,6.0
29,B41 Motor vehicle theft,7.0
30,B42 Steal from a motor vehicle,7.0
31,B43 Steal from a retail store,7.0
32,B44 Theft of a bicycle,7.0
33,B45 Receiving or handling stolen goods,7.0
34,B46 Fare evasion,7.0
35,B49 Other theft,7.0
36,B51 Forgery and counterfeiting,8.0
37,B52 Possess equipment to make false instrument,8.0
38,B53 Obtain benefit by deception,8.0
39,B54 State false information,8.0
40,B55 Deceptive business practices,8.0
41,B56 Professional malpractice and misrepresentation,8.0
42,B59 Other deception offences,8.0
43,B61 Bribery of officials,9.0
44,C11 Drug dealing,10.0
45,C12 Drug trafficking,10.0
46,C21 Cultivate drugs,11.0
47,C22 Manufacture drugs,11.0
48,C23 Possess drug manufacturing equipment or precursor,11.0
49,C31 Drug use,12.0
50,C32 Drug possession,12.0
51,C99 Other drug offences,13.0
52,D11 Firearms offences,14.0
53,D12 Prohibited and controlled weapons offences,14.0
54,D13 Explosives offences,14.0
55,D21 Riot and affray,15.0
56,D22 Drunk and disorderly in public,15.0
57,D23 Offensive conduct,15.0
58,D24 Offensive language,15.0
59,D25 Criminal intent,15.0
60,D26 Disorderly conduct,15.0
61,D31 Privacy offences,16.0
62,D32 Hoaxes,16.0
63,D33 Begging,16.0
64,D34 Defamation and libel,16.0
65,D35 Improper movement on public or private space,16.0
66,D36 Other public nuisance offences,16.0
67,D41 Immigration offences,17.0
68,D42 Sabotage,17.0
69,D43 Hacking,17.0
70,D44 Terrorism offences,17.0
71,D49 Other public security offences,17.0
72,E11 Escape custody,18.0
73,E12 Fail to appear,18.0
74,E13 Resist or hinder officer,18.0
75,E14 Pervert the course of justice or commit perjury,18.0
76,E15 Prison regulation offences,18.0
77,E19 Other justice procedures offences,18.0
78,E21 Breach family violence order,19.0
79,E22 Breach intervention order,19.0
80,E23 Breach bail conditions,19.0
81,E29 Breach of other orders,19.0
82,F11 Drink driving,20.0
83,F12 Drug driving,20.0
84,F13 Speeding offences,20.0
85,F14 Parking offences,20.0
86,F15 Licensing offences,20.0
87,F16 Registration and roadworthiness offences,20.0
88,F19 Other regulatory driving offences,20.0
89,F21 Public transport,21.0
90,F22 Aviation regulations offences,21.0
91,F23 Maritime regulations offences,21.0
92,F24 Pedestrian offences,21.0
93,F29 Other transport regulation offences,21.0
94,F31 Betting and gaming offences,22.0
95,F32 Commercial regulation offences,22.0
96,F33 Liquor and tobacco licensing offences,22.0
97,F34 Pornography and censorship offences,22.0
98,F35 Intellectual property,22.0
99,F36 Prostitution offences,22.0
100,F39 Other government regulatory offences,22.0
101,F91 Environmental offences,23.0
102,F92 Public health and safety offences,23.0
103,F93 Cruelty to animals,23.0
104,F94 Dangerous substance offences,23.0
105,F99 Other miscellaneous offences,23.0
106,Other crimes against the person,24.0
107,A10 Homicide and related offences,25.0
108,A30 Sexual offences,26.0
109,A41 Abduction,27.0
110,A42 False imprisonment,27.0
111,A43 Slavery and sexual servitude offences,27.0
112,A61 Blackmail,28.0
113,A62 Extortion,28.0
