PSAID,Police Service Area
0,Ballarat
1,Banyule
2,Bass Coast
3,Baw Baw
4,Benalla
5,Bendigo
6,Boroondara
7,Brimbank
8,Campaspe
9,Cardinia
10,Casey
11,Central Goldfields
12,Darebin
13,East Gippsland
14,Frankston
15,Geelong
16,Glen Eira
17,Greater Dandenong
18,Hobsons Bay
19,Horsham
20,Hume
21,Kingston
22,Knox
23,Latrobe
24,Macedon Ranges
25,Manningham
26,Maribyrnong
27,Maroondah
28,Melbourne
29,Melton
30,Merri-bek
31,Mildura
32,Mitchell
33,Monash
34,Moonee Valley
35,Moorabool
36,Mornington Peninsula
37,Nillumbik
38,Northern Grampians
39,Port Phillip
40,Shepparton
41,Southern Grampians
42,Stonnington
43,Surf Coast
44,Swan Hill
45,Wangaratta
46,Warrnambool
47,Wellington
48,Whitehorse
49,Whittlesea
50,Wodonga
51,Wyndham
52,Yarra
53,Yarra Ranges
