Year,LGAID,Offence Count,"Rate per 100,000 population"
2023,3,8072,6256.3
2023,9,17044,8666.6
2023,17,13715,8823.9
2023,30,5720,6143.2
2023,32,18342,7030.8
2023,42,9713,10384.4
2023,44,37764,21405.7
2023,45,12862,6224.0
2023,46,12750,7049.7
2023,51,8020,6354.3
2023,57,1776,2806.6
2023,75,13199,5395.8
2023,77,18574,5746.8
2023,78,12835,13072.3
2023,0,519,3921.7
2023,4,2957,6924.1
2023,5,4496,7412.0
2023,7,1515,10453.5
2023,8,7868,4515.9
2023,18,5279,10687.6
2023,27,8503,12215.8
2023,33,657,3741.3
2023,36,10162,6315.4
2023,37,11863,15187.3
2023,40,4817,3764.3
2023,41,601,5726.7
2023,43,7666,6548.0
2023,48,4163,7613.3
2023,49,2582,8404.7
2023,50,13629,6832.2
2023,56,824,5304.9
2023,62,2264,7315.8
2023,65,529,4549.1
2023,68,284,4580.7
2023,70,2715,9030.9
2023,72,4681,10146.6
2023,74,9916,5627.9
2023,76,4372,9871.2
2023,79,7113,4478.3
2023,6,5605,5422.0
2023,12,7108,5587.6
2023,13,23432,5982.9
2023,19,14953,10490.5
2023,21,7662,4948.3
2023,25,18774,11610.9
2023,35,12594,7762.3
2023,53,9928,5812.8
2023,59,12727,11447.1
2023,64,11214,10020.7
2023,1,1410,11956.8
2023,2,11715,9931.7
2023,10,429,7042.0
2023,11,3925,10154.4
2023,14,1212,8916.6
2023,15,1471,6594.6
2023,16,729,4577.0
2023,20,995,9502.7
2023,22,1645,8216.2
2023,23,729,2832.5
2023,24,11276,9072.0
2023,26,22601,8009.4
2023,28,710,4261.5
2023,29,307,5528.0
2023,31,2756,13531.7
2023,38,453,5844.9
2023,39,2131,4030.1
2023,47,8071,14036.6
2023,52,2593,6573.3
2023,54,1094,5342.6
2023,55,625,3560.7
2023,58,1076,9085.2
2023,60,369,4796.3
2023,61,93,2838.1
2023,63,1227,7515.2
2023,66,1251,3165.2
2023,67,2222,10508.8
2023,71,3166,8867.4
2023,73,187,4784.8
2023,80,413,6464.5
2023,34,2088,
2023,69,147,
2022,3,7682,6032.3
2022,9,16727,8655.4
2022,17,12671,8420.2
2022,30,5935,6464.9
2022,32,18186,7188.5
2022,42,8666,9901.1
2022,44,34547,21592.8
2022,45,12036,6231.3
2022,46,11926,6825.2
2022,51,7569,6151.8
2022,57,1591,2523.8
2022,75,12477,5265.3
2022,77,17648,5709.0
2022,78,12835,13905.6
2022,0,459,3480.7
2022,4,2829,6768.3
2022,5,4139,6985.9
2022,7,1325,9165.1
2022,8,7079,4176.4
2022,18,4877,9968.9
2022,27,8921,12943.1
2022,33,730,4191.1
2022,36,9133,5727.3
2022,37,11186,14402.3
2022,40,3811,3012.9
2022,41,382,3696.2
2022,43,7525,6504.5
2022,48,3868,7488.3
2022,49,2048,6699.2
2022,50,11782,6045.9
2022,56,750,4886.6
2022,62,1942,6326.4
2022,65,611,5308.4
2022,68,159,2566.2
2022,70,2448,8186.5
2022,72,4481,9784.1
2022,74,7933,4599.7
2022,76,3635,8319.2
2022,79,6973,4430.5
2022,6,4954,4848.4
2022,12,6159,5003.1
2022,13,20949,5529.9
2022,19,12737,9028.3
2022,21,6934,4571.0
2022,25,17016,10691.7
2022,35,10694,6683.5
2022,53,9293,5477.3
2022,59,12598,12114.6
2022,64,11314,10631.7
2022,1,1342,11417.4
2022,2,10953,9446.2
2022,10,289,4723.8
2022,11,3338,8660.9
2022,14,1174,8686.0
2022,15,1551,6990.3
2022,16,682,4264.4
2022,20,804,7634.6
2022,22,1650,8233.1
2022,23,600,2370.4
2022,24,10467,8534.2
2022,26,19875,7189.5
2022,28,620,3742.4
2022,29,265,4733.0
2022,31,2386,11732.3
2022,38,457,5898.3
2022,39,2027,3884.7
2022,47,7369,12879.3
2022,52,2025,5258.9
2022,54,923,4543.0
2022,55,659,3772.2
2022,58,983,8277.9
2022,60,372,4862.1
2022,61,109,3385.1
2022,63,1257,7667.9
2022,66,1075,2781.2
2022,67,2074,9771.5
2022,71,2933,8248.3
2022,73,117,2968.0
2022,80,452,7024.1
2022,34,2050,
2022,69,107,
2021,3,7351,5771.4
2021,9,16994,8642.6
2021,17,12641,8410.7
2021,30,5832,6320.8
2021,32,17888,7244.5
2021,42,8622,9980.9
2021,44,33627,21962.6
2021,45,12101,6672.9
2021,46,11638,6707.8
2021,51,7888,6415.6
2021,57,2202,3470.4
2021,75,13143,5669.2
2021,77,15918,5371.9
2021,78,12150,13275.6
2021,0,553,4200.2
2021,4,3144,7729.6
2021,5,4432,7692.0
2021,7,1423,9857.3
