Year,LGAID,OGID,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population",Offence Group
2023,2,0,2,1.6,1.7,A10 Homicide and related offences
2023,2,1,131,104.3,111.1,A211 FV Serious assault
2023,2,2,147,117.0,124.6,A212 Non-FV Serious assault
2023,2,3,35,27.9,29.7,"A22 Assault police, emergency services or other authorised officer"
2023,2,4,258,205.3,218.7,A231 FV Common assault
2023,2,5,219,174.3,185.7,A232 Non-FV Common assault
2023,2,6,398,316.8,337.4,A30 Sexual offences
2023,2,7,3,2.4,2.5,A41 Abduction
2023,2,8,12,9.6,10.2,A42 False imprisonment
2023,2,10,30,23.9,25.4,A51 Aggravated robbery
2023,2,11,4,3.2,3.4,A52 Non-Aggravated robbery
2023,2,12,5,4.0,4.2,A61 Blackmail
2023,2,13,1,0.8,0.8,A62 Extortion
2023,2,14,27,21.5,22.9,A711 FV Stalking
2023,2,15,10,8.0,8.5,A712 Non-FV Stalking
2023,2,16,27,21.5,22.9,A721 FV Harassment and private nuisance
2023,2,17,7,5.6,5.9,A722 Non-FV Harassment and private nuisance
2023,2,18,38,30.2,32.2,A731 FV Threatening behaviour
2023,2,19,31,24.7,26.3,A732 Non-FV Threatening behaviour
2023,2,20,56,44.6,47.5,A81 Dangerous driving
2023,2,22,20,15.9,17.0,A83 Throw or discharge object endangering people
2023,2,23,83,66.1,70.4,A89 Other dangerous or negligent acts endangering people
2023,2,24,93,74.0,78.8,B11 Cause damage by fire
2023,2,26,10,8.0,8.5,B19 Other fire related offences
2023,2,27,839,667.7,711.3,B21 Criminal damage
2023,2,28,80,63.7,67.8,B22 Graffiti
2023,2,29,5,4.0,4.2,B29 Other property damage offences
2023,2,30,132,105.1,111.9,B311 Residential aggravated burglary
2023,2,32,1,0.8,0.8,B319 Unknown aggravated burglary
2023,2,33,506,402.7,429.0,B321 Residential non-aggravated burglary
2023,2,34,319,253.9,270.4,B322 Non-residential non-aggravated burglary
2023,2,35,2,1.6,1.7,B329 Unknown non-aggravated burglary
2023,2,36,587,467.2,497.6,B41 Motor vehicle theft
2023,2,37,1533,1220.1,1299.6,B42 Steal from a motor vehicle
2023,2,38,730,581.0,618.9,B43 Steal from a retail store
2023,2,39,100,79.6,84.8,B44 Theft of a bicycle
2023,2,40,404,321.5,342.5,B45 Receiving or handling stolen goods
2023,2,42,1069,850.8,906.3,B49 Other theft
2023,2,43,89,70.8,75.5,B51 Forgery and counterfeiting
2023,2,45,357,284.1,302.7,B53 Obtain benefit by deception
2023,2,46,15,11.9,12.7,B54 State false information
2023,2,49,4,3.2,3.4,B59 Other deception offences
