Year,LGAID,LGID,Offence Count
2023,0,0,3
2023,0,1,235
2023,0,3,4
2023,0,6,5
2023,0,8,5
2023,0,9,3
2023,0,11,7
2023,0,12,2
2023,0,14,1
2023,0,16,6
2023,0,17,2
2023,0,18,4
2023,0,19,10
2023,0,20,1
2023,0,21,2
2023,0,22,13
2023,0,23,1
2023,0,24,4
2023,0,26,2
2023,0,27,1
2023,0,31,1
2023,0,47,5
2023,0,50,1
2023,0,51,3
2023,0,55,18
2023,0,57,1
2023,0,59,4
2023,0,61,66
2023,0,66,5
2023,0,72,1
2023,0,73,1
2023,0,75,18
2023,0,76,11
2023,0,79,15
2023,0,80,3
2023,0,81,1
2023,0,82,1
2023,0,83,1
2023,0,85,3
2023,0,87,1
2023,0,88,3
2023,0,90,1
2023,0,91,20
2023,0,94,3
2023,0,95,1
2023,0,96,3
2023,0,99,7
2023,1,0,147
2023,1,1,486
2023,1,2,2
2023,1,3,5
2023,1,5,2
2023,1,6,5
2023,1,10,4
2023,1,11,1
2023,1,12,3
2023,1,14,5
2023,1,16,23
2023,1,17,33
2023,1,18,8
2023,1,19,21
2023,1,20,10
2023,1,21,14
2023,1,22,20
2023,1,24,8
2023,1,25,14
2023,1,26,2
2023,1,28,1
2023,1,30,7
2023,1,31,1
2023,1,32,1
2023,1,33,1
2023,1,34,1
2023,1,35,2
2023,1,39,1
2023,1,40,1
2023,1,43,5
2023,1,47,15
2023,1,49,4
2023,1,50,12
2023,1,51,30
2023,1,53,6
2023,1,55,24
2023,1,56,6
2023,1,57,1
2023,1,59,5
2023,1,61,155
2023,1,63,2
2023,1,66,5
2023,1,67,1
2023,1,72,2
2023,1,73,2
2023,1,74,14
2023,1,75,56
2023,1,76,36
2023,1,79,26
2023,1,80,7
2023,1,81,3
2023,1,82,1
2023,1,84,2
2023,1,85,8
2023,1,86,2
2023,1,88,22
2023,1,90,2
2023,1,91,12
2023,1,94,19
2023,1,95,1
2023,1,96,12
2023,1,97,1
2023,1,99,15
2023,1,100,2
2023,2,0,408
2023,2,1,3519
2023,2,2,2
2023,2,3,10
2023,2,5,18
2023,2,6,8
2023,2,7,18
2023,2,8,7
2023,2,9,4
2023,2,10,8
2023,2,11,62
2023,2,12,39
2023,2,14,5
2023,2,15,7
2023,2,16,96
2023,2,17,235
2023,2,18,101
2023,2,19,96
2023,2,20,122
2023,2,21,41
2023,2,22,524
2023,2,23,19
2023,2,24,117
2023,2,25,51
2023,2,26,23
2023,2,27,30
2023,2,28,12
2023,2,29,1
2023,2,30,28
2023,2,31,33
2023,2,32,2
2023,2,33,2
2023,2,34,2
2023,2,35,59
2023,2,36,61
2023,2,38,52
2023,2,39,2
2023,2,40,1
2023,2,42,7
2023,2,43,9
2023,2,44,2
2023,2,47,238
2023,2,48,27
2023,2,49,21
2023,2,50,107
2023,2,51,244
2023,2,53,4
2023,2,55,125
2023,2,56,14
2023,2,57,6
2023,2,59,29
2023,2,61,1671
2023,2,62,4
2023,2,63,10
