Year,LGAID,OGID,DTID,Offence Count
2023,0,52,1,1
2023,0,53,7,1
2023,0,57,0,1
2023,0,57,1,8
2023,0,57,4,1
2023,0,57,6,2
2023,0,57,8,1
2023,1,52,0,1
2023,1,52,1,3
2023,1,52,2,2
2023,1,52,3,1
2023,1,52,6,3
2023,1,52,10,1
2023,1,55,7,3
2023,1,57,0,1
2023,1,57,1,33
2023,1,57,2,2
2023,1,57,3,5
2023,1,57,4,1
2023,1,57,6,14
2023,1,57,8,4
2023,1,57,9,4
2023,1,57,10,15
2023,2,51,8,2
2023,2,52,0,2
2023,2,52,1,12
2023,2,52,2,2
2023,2,52,3,2
2023,2,52,4,4
2023,2,52,6,11
2023,2,53,7,16
2023,2,55,7,5
2023,2,56,0,1
2023,2,56,1,1
2023,2,57,0,12
2023,2,57,1,134
2023,2,57,2,14
2023,2,57,3,12
2023,2,57,4,18
2023,2,57,5,5
2023,2,57,6,84
2023,2,57,8,19
2023,2,57,9,12
2023,2,57,10,31
2023,3,52,0,1
2023,3,52,1,14
2023,3,52,2,3
2023,3,52,3,1
2023,3,52,4,9
2023,3,52,5,19
2023,3,52,6,19
2023,3,52,8,7
2023,3,52,10,1
2023,3,53,7,14
2023,3,55,7,31
2023,3,56,1,1
2023,3,56,5,1
2023,3,56,6,2
2023,3,56,8,2
2023,3,57,0,4
2023,3,57,1,123
2023,3,57,2,12
2023,3,57,3,7
2023,3,57,4,30
2023,3,57,5,9
2023,3,57,6,114
2023,3,57,8,46
2023,3,57,9,11
2023,3,57,10,65
2023,3,58,7,60
2023,4,51,8,2
2023,4,52,1,3
2023,4,52,3,1
2023,4,52,4,1
2023,4,52,6,4
2023,4,52,8,1
2023,4,53,7,6
2023,4,55,7,5
2023,4,56,0,2
2023,4,56,1,2
2023,4,57,0,3
2023,4,57,1,43
2023,4,57,2,2
2023,4,57,3,2
2023,4,57,4,7
2023,4,57,6,20
2023,4,57,8,7
2023,4,57,9,2
2023,4,57,10,8
2023,5,52,1,8
2023,5,52,2,2
2023,5,52,4,7
2023,5,52,6,11
2023,5,52,8,1
2023,5,53,7,6
2023,5,55,7,20
2023,5,56,1,1
2023,5,57,0,9
2023,5,57,1,56
2023,5,57,2,3
2023,5,57,3,2
2023,5,57,4,16
2023,5,57,5,1
2023,5,57,6,50
2023,5,57,8,10
2023,5,57,9,2
2023,5,57,10,36
2023,6,51,8,1
2023,6,52,1,2
2023,6,52,2,4
2023,6,52,4,1
2023,6,52,6,3
2023,6,52,10,2
2023,6,53,7,5
2023,6,55,7,2
2023,6,56,0,1
2023,6,56,1,1
2023,6,56,2,1
2023,6,57,0,2
2023,6,57,1,43
2023,6,57,2,7
2023,6,57,3,4
2023,6,57,4,8
2023,6,57,5,3
2023,6,57,6,38
2023,6,57,8,7
2023,6,57,9,2
2023,6,57,10,30
2023,7,52,1,2
2023,7,52,4,1
2023,7,52,6,4
2023,7,52,10,1
2023,7,53,7,4
2023,7,55,7,1
2023,7,57,0,2
2023,7,57,1,34
2023,7,57,2,1
2023,7,57,3,1
2023,7,57,4,3
2023,7,57,6,25
2023,7,57,8,9
2023,7,57,10,23
2023,8,52,0,3
2023,8,52,1,5
2023,8,52,2,8
2023,8,52,3,1
2023,8,52,4,3
2023,8,52,5,2
2023,8,52,6,5
2023,8,52,8,17
2023,8,52,9,2
2023,8,52,10,5
2023,8,53,7,14
2023,8,55,7,12
2023,8,56,2,1
2023,8,56,4,1
2023,8,57,0,4
2023,8,57,1,61
2023,8,57,2,8
2023,8,57,3,5
2023,8,57,4,14
2023,8,57,5,11
2023,8,57,6,41
2023,8,57,8,28
2023,8,57,9,5
2023,8,57,10,50
2023,8,58,7,36
2023,9,52,1,29
2023,9,52,2,6
2023,9,52,3,2
2023,9,52,4,7
2023,9,52,5,31
2023,9,52,6,52
2023,9,52,8,26
2023,9,52,9,3
2023,9,52,10,6
2023,9,53,7,60
2023,9,55,7,28
2023,9,56,0,2
2023,9,56,1,3
2023,9,56,5,2
2023,9,56,6,3
2023,9,56,8,2
2023,9,57,0,15
2023,9,57,1,245
2023,9,57,2,24
2023,9,57,3,27
2023,9,57,4,39
2023,9,57,5,114
2023,9,57,6,217
2023,9,57,8,50
2023,9,57,9,6
2023,9,57,10,170
2023,9,58,7,5
2023,10,52,0,2
2023,10,52,1,2
2023,10,52,2,3
2023,10,52,3,5
2023,10,52,4,1
2023,10,52,6,1
2023,10,52,8,3
2023,10,52,9,3
2023,10,53,7,3
2023,10,55,7,1
2023,10,57,0,8
2023,10,57,1,24
2023,10,57,2,14
2023,10,57,3,27
2023,10,57,4,8
2023,10,57,6,4
2023,10,57,8,21
2023,10,57,9,42
2023,10,57,10,2
2023,11,52,0,1
2023,11,52,6,6
2023,11,52,9,2
2023,11,53,7,8
2023,11,55,7,1
2023,11,56,1,1
2023,11,57,0,8
2023,11,57,1,51
2023,11,57,2,4
2023,11,57,3,1
2023,11,57,4,3
