LGAID,Local Government Area,PRID,PSAID
0,Alpine,1,45
1,Ararat,3,38
2,Ballarat,3,0
3,Banyule,0,1
4,Bass Coast,1,2
5,Baw Baw,1,3
6,Bayside,2,16
7,Benalla,1,4
8,Boroondara,1,6
9,Brimbank,0,7
10,Buloke,3,44
11,Campaspe,3,8
12,Cardinia,2,9
13,Casey,2,10
14,Central Goldfields,3,11
15,Colac-Otway,3,43
16,Corangamite,3,46
17,Darebin,0,12
18,East Gippsland,1,13
19,Frankston,2,14
20,Gannawarra,3,44
21,Glen Eira,2,16
22,Glenelg,3,41
23,Golden Plains,3,35
24,Greater Bendigo,3,5
25,Greater Dandenong,2,17
26,Greater Geelong,3,15
27,Greater Shepparton,1,40
28,Hepburn,3,35
29,Hindmarsh,3,19
30,Hobsons Bay,0,18
31,Horsham,3,19
32,Hume,0,20
33,Indigo,1,50
34,Justice Institutions and Immigration Facilities,4,
35,Kingston,2,21
36,Knox,1,22
37,Latrobe,1,23
38,Loddon,3,11
39,Macedon Ranges,3,24
40,Manningham,1,25
41,Mansfield,1,4
42,Maribyrnong,0,26
43,Maroondah,1,27
44,Melbourne,0,28
45,Melton,0,29
46,Merri-bek,0,30
47,Mildura,3,31
48,Mitchell,1,32
49,Moira,1,45
50,Monash,1,33
51,Moonee Valley,0,34
52,Moorabool,3,35
53,Mornington Peninsula,2,36
54,Mount Alexander,3,24
55,Moyne,3,46
56,Murrindindi,1,4
57,Nillumbik,0,37
58,Northern Grampians,3,38
59,Port Phillip,2,39
60,Pyrenees,3,0
61,Queenscliffe,3,15
62,South Gippsland,1,2
63,Southern Grampians,3,41
64,Stonnington,2,42
65,Strathbogie,1,32
66,Surf Coast,3,43
67,Swan Hill,3,44
68,Towong,1,50
69,Unincorporated Vic,5,
70,Wangaratta,1,45
71,Warrnambool,3,46
72,Wellington,1,47
73,West Wimmera,3,19
74,Whitehorse,1,48
75,Whittlesea,0,49
76,Wodonga,1,50
77,Wyndham,0,51
78,Yarra,0,52
79,Yarra Ranges,1,53
80,Yarriambiack,3,38
