TID,LGAID,Postcode,Suburb/Town Name
0,0,3691,Dederang
1,0,3691,Glen Creek
2,0,3691,Gundowring
3,0,3691,Kancoona
4,0,3691,Kergunyah South
5,0,3691,Mongans Bridge
6,0,3691,Running Creek
7,0,3691,Upper Gundowring
8,0,3697,Tawonga
9,0,3698,Tawonga South
10,0,3699,Bogong
11,0,3699,Falls Creek
12,0,3699,Mount Beauty
13,0,3737,Abbeyard
14,0,3737,Barwidgee
15,0,3737,Buffalo River
16,0,3737,Dandongadale
17,0,3737,Gapsted
18,0,3737,Merriang
19,0,3737,Merriang South
20,0,3737,Mudgegonga
21,0,3737,Myrtleford
22,0,3737,Nug Nug
23,0,3737,Rosewhite
24,0,3737,Selwyn
25,0,3737,Wonnangatta
26,0,3738,Ovens
27,0,3739,Eurobin
28,0,3740,Buckland
29,0,3740,Mount Buffalo
30,0,3740,Porepunkah
31,0,3741,Bright
32,0,3741,Freeburgh
33,0,3741,Harrietville
34,0,3741,Hotham Heights
35,0,3741,Smoko
36,0,3744,Wandiligong
37,0,3898,Dinner Plain
38,1,3271,Pura Pura
39,1,3272,Woorndoo
40,1,3293,Glenthompson
41,1,3351,Lake Bolac
42,1,3351,Mininera
43,1,3351,Nerrin Nerrin
44,1,3351,Streatham
45,1,3351,Westmere
46,1,3374,Great Western
47,1,3375,Ballyrogan
48,1,3375,Bayindeen
49,1,3375,Buangor
50,1,3375,Middle Creek
51,1,3377,Ararat
52,1,3377,Armstrong
53,1,3377,Cathcart
54,1,3377,Crowlands
55,1,3377,Denicull Creek
56,1,3377,Dobie
57,1,3377,Dunneworthy
58,1,3377,Eversley
59,1,3377,Langi Logan
60,1,3377,Maroona
61,1,3377,Mount Cole
62,1,3377,Mount Cole Creek
63,1,3377,Moyston
64,1,3377,Norval
65,1,3377,Rhymney
66,1,3377,Rocky Point
67,1,3377,Rossbridge
68,1,3377,Warrak
69,1,3378,Tatyoon
70,1,3378,Yalla-Y-Poora
71,1,3379,Bornes Hill
72,1,3379,Chatsworth
73,1,3379,Mafeking
74,1,3379,Stavely
75,1,3379,Wickliffe
76,1,3379,Willaura
77,1,3379,Willaura North
78,1,3381,Black Range
79,1,3381,Pomonal
80,1,3469,Elmhurst
81,1,3469,Glenlogie
82,2,3350,Alfredton
83,2,3350,Bakery Hill
84,2,3350,Ballarat Central
85,2,3350,Ballarat East
86,2,3350,Ballarat North
87,2,3350,Black Hill
88,2,3350,Brown Hill
89,2,3350,Canadian
90,2,3350,Eureka
91,2,3350,Golden Point
92,2,3350,Invermay Park
93,2,3350,Lake Wendouree
94,2,3350,Lucas
95,2,3350,Mount Clear
96,2,3350,Mount Helen
97,2,3350,Mount Pleasant
98,2,3350,Nerrina
99,2,3350,Newington
100,2,3350,Redan
101,2,3350,Soldiers Hill
102,2,3351,Bo Peep
103,2,3351,Smythes Creek
104,2,3352,Addington
105,2,3352,Blowhard
106,2,3352,Bonshaw
107,2,3352,Bunkers Hill
108,2,3352,Burrumbeet
109,2,3352,Cardigan
110,2,3352,Cardigan Village
111,2,3352,Chapel Flat
112,2,3352,Durham Lead
113,2,3352,Ercildoune
114,2,3352,Glen Park
115,2,3352,Gong Gong
116,2,3352,Invermay
117,2,3352,Learmonth
118,2,3352,Magpie
119,2,3352,Miners Rest
120,2,3352,Mount Bolton
121,2,3352,Mount Rowan
122,2,3352,Scotchmans Lead
123,2,3352,Scotsburn
124,2,3352,Sulky
125,2,3352,Warrenheip
126,2,3352,Waubra
127,2,3352,Weatherboard
128,2,3352,Windermere
129,2,3355,Lake Gardens
130,2,3355,Mitchell Park
131,2,3355,Wendouree
132,2,3356,Delacombe
133,2,3356,Sebastopol
134,2,3357,Buninyong
135,2,3358,Winter Valley
136,2,3363,Creswick
137,2,3363,Glendaruel
138,2,3363,Tourello
139,2,3364,Ascot
140,2,3364,Bald Hills
141,2,3364,Coghills Creek
142,2,3364,Glendonald
143,3,3079,Ivanhoe
144,3,3079,Ivanhoe East
145,3,3081,Bellfield
146,3,3081,Heidelberg Heights
147,3,3081,Heidelberg West
148,3,3083,Bundoora
149,3,3084,Eaglemont
150,3,3084,Heidelberg
151,3,3084,Ivanhoe East
152,3,3084,Rosanna
153,3,3084,Viewbank
154,3,3085,Macleod
155,3,3085,Yallambie
156,3,3087,Watsonia
157,3,3087,Watsonia North
158,3,3088,Briar Hill
159,3,3088,Greensborough
160,3,3088,St Helena
161,3,3093,Lower Plenty
162,3,3094,Montmorency
163,3,3095,Eltham
164,3,3095,Eltham North
165,4,3922,Cowes
166,4,3922,Silverleaves
167,4,3922,Smiths Beach
168,4,3922,Summerlands
169,4,3922,Sunderland Bay
170,4,3922,Sunset Strip
171,4,3922,Surf Beach
172,4,3922,Ventnor
173,4,3922,Wimbledon Heights
174,4,3923,Rhyll
175,4,3925,Cape Woolamai
176,4,3925,Churchill Island
177,4,3925,Newhaven
178,4,3925,San Remo
179,4,3945,Krowera
180,4,3945,Loch
181,4,3945,Woodleigh
182,4,3951,Kongwak
183,4,3951,Outtrim
184,4,3979,Almurta
185,4,3979,Glen Alvie
186,4,3979,Kernot
187,4,3984,Adams Estate
188,4,3984,Corinella
189,4,3984,Coronet Bay
190,4,3984,Grantville
191,4,3984,Jam Jerrup
192,4,3984,Lang Lang
193,4,3984,Pioneer Bay
194,4,3984,Tenby Point
195,4,3984,The Gurdies
196,4,3990,Glen Forbes
197,4,3991,Bass
198,4,3992,Dalyston
199,4,3992,Ryanston
200,4,3992,West Creek
201,4,3995,Anderson
202,4,3995,Archies Creek
203,4,3995,Cape Paterson
204,4,3995,Harmers Haven
205,4,3995,Kilcunda
206,4,3995,Lance Creek
207,4,3995,North Wonthaggi
208,4,3995,South Dudley
209,4,3995,St Clair
210,4,3995,Wattle Bank
211,4,3995,Wonthaggi
212,4,3995,Woolamai
213,4,3996,Inverloch
214,4,3996,Pound Creek
215,5,3816,Labertouche
216,5,3816,Longwarry
217,5,3816,Longwarry North
218,5,3816,Modella
219,5,3818,Athlone
220,5,3818,Drouin
221,5,3818,Drouin East
222,5,3818,Drouin South
223,5,3818,Drouin West
224,5,3818,Hallora
225,5,3818,Jindivick
226,5,3818,Ripplebrook
227,5,3820,Bona Vista
228,5,3820,Lillico
229,5,3820,Warragul
230,5,3821,Brandy Creek
231,5,3821,Bravington
232,5,3821,Buln Buln
233,5,3821,Buln Buln East
234,5,3821,Crossover
235,5,3821,Ellinbank
236,5,3821,Ferndale
237,5,3821,Lardner
238,5,3821,Nilma
239,5,3821,Nilma North
240,5,3821,Rokeby
241,5,3821,Seaview
242,5,3821,Shady Creek
243,5,3821,Tetoora Road
244,5,3821,Torwood
245,5,3821,Warragul South
246,5,3821,Warragul West
247,5,3822,Cloverlea
248,5,3822,Darnum
249,5,3822,Gainsborough
250,5,3823,Allambee
251,5,3823,Yarragon
252,5,3823,Yarragon South
253,5,3824,Childers
254,5,3824,Narracan
255,5,3824,Thorpdale South
256,5,3824,Trafalgar
257,5,3824,Trafalgar East
258,5,3824,Trafalgar South
259,5,3825,Aberfeldy
260,5,3825,Amor
261,5,3825,Boola
262,5,3825,Caringal
263,5,3825,Coalville
264,5,3825,Erica
265,5,3825,Fumina
266,5,3825,Fumina South
267,5,3825,Hill End
268,5,3825,Jacob Creek
269,5,3825,Jericho
270,5,3825,Moe South
271,5,3825,Moondarra
272,5,3825,Rawson
273,5,3825,Tanjil
274,5,3825,Tanjil South
275,5,3825,Thomson
276,5,3825,Toombon
277,5,3825,Walhalla
278,5,3825,Westbury
279,5,3825,Willow Grove
280,5,3825,Yallourn North
281,5,3831,Neerim
282,5,3831,Neerim East
283,5,3831,Neerim South
284,5,3832,Nayook
285,5,3832,Neerim Junction
286,5,3832,Neerim North
287,5,3833,Ada
288,5,3833,Baw Baw
289,5,3833,Gentle Annie
290,5,3833,Icy Creek
291,5,3833,Loch Valley
292,5,3833,Noojee
293,5,3833,Piedmont
294,5,3833,Tanjil Bren
295,5,3833,Toorongo
296,5,3833,Vesper
297,5,3835,Thorpdale
298,5,3856,Toongabbie
299,5,3871,Allambee Reserve
300,5,3950,Strzelecki
301,5,3953,Trida
302,5,3981,Heath Hill
303,5,3988,Mountain View
304,5,3988,Poowong East
305,6,3186,Brighton
306,6,3187,Brighton East
307,6,3188,Brighton East
308,6,3188,Hampton
309,6,3188,Hampton East
310,6,3190,Highett
311,6,3191,Sandringham
312,6,3192,Beaumaris
313,6,3192,Cheltenham
314,6,3192,Highett
315,6,3193,Beaumaris
316,6,3193,Black Rock
317,7,3669,Creek Junction
318,7,3670,Baddaginnie
319,7,3670,Tarnook
320,7,3670,Warrenbayne
321,7,3672,Benalla
322,7,3673,Broken Creek
323,7,3673,Goomalibee
324,7,3673,Lima
325,7,3673,Lima East
326,7,3673,Lima South
327,7,3673,Lurg
328,7,3673,Molyullah
329,7,3673,Moorngag
330,7,3673,Samaria
331,7,3673,Swanpool
332,7,3673,Tatong
333,7,3673,Upper Lurg
334,7,3673,Upper Ryans Creek
335,7,3673,Winton
336,7,3673,Winton North
337,7,3675,Boweya
338,7,3675,Glenrowan
339,7,3675,Glenrowan West
340,7,3675,Mount Bruno
341,7,3675,Taminick
342,7,3723,Archerton
343,7,3723,Bridge Creek
344,7,3725,Boxwood
345,7,3725,Chesney Vale
346,7,3725,Goorambat
347,7,3725,Major Plains
348,7,3725,Stewarton
349,7,3726,Bungeet
350,7,3726,Bungeet West
351,7,3726,Devenish
