LGAID,PRID,Local Government Area
0,0,Banyule
1,0,Brimbank
2,0,Darebin
3,0,Hobsons Bay
4,0,Hume
5,0,Maribyrnong
6,0,Melbourne
7,0,Melton
8,0,Merri-bek
9,0,Moonee Valley
10,0,Nillumbik
11,0,Whittlesea
12,0,Wyndham
13,0,Yarra
14,1,Alpine
15,1,Bass Coast
16,1,Baw Baw
17,1,Benalla
18,1,Boroondara
19,1,East Gippsland
20,1,Greater Shepparton
21,1,Indigo
22,1,Knox
23,1,Latrobe
24,1,Manningham
25,1,Mansfield
26,1,Maroondah
27,1,Mitchell
28,1,Moira
29,1,Monash
30,1,Murrindindi
31,1,South Gippsland
32,1,Strathbogie
33,1,Towong
34,1,Wangaratta
35,1,Wellington
36,1,Whitehorse
37,1,Wodonga
38,1,Yarra Ranges
39,2,Bayside
40,2,Cardinia
41,2,Casey
42,2,Frankston
43,2,Glen Eira
44,2,Greater Dandenong
45,2,Kingston
46,2,Mornington Peninsula
47,2,Port Phillip
48,2,Stonnington
49,3,Ararat
50,3,Ballarat
51,3,Buloke
52,3,Campaspe
53,3,Central Goldfields
54,3,Colac-Otway
55,3,Corangamite
56,3,Gannawarra
57,3,Glenelg
58,3,Golden Plains
59,3,Greater Bendigo
60,3,Greater Geelong
61,3,Hepburn
62,3,Hindmarsh
63,3,Horsham
64,3,Loddon
65,3,Macedon Ranges
66,3,Mildura
67,3,Moorabool
68,3,Mount Alexander
69,3,Moyne
70,3,Northern Grampians
71,3,Pyrenees
72,3,Queenscliffe
73,3,Southern Grampians
74,3,Surf Coast
75,3,Swan Hill
76,3,Warrnambool
77,3,West Wimmera
78,3,Yarriambiack
79,4,Justice Institutions and Immigration Facilities
80,5,Unincorporated Vic
