LID,Local Government Area,Postcode,Suburb/Town Name
0,Alpine,3691,Dederang
1,Alpine,3691,Glen Creek
2,Alpine,3691,Kancoona
3,Alpine,3691,Kergunyah South
4,Alpine,3691,Mongans Bridge
5,Alpine,3691,Running Creek
6,Alpine,3697,Tawonga
7,Alpine,3698,Tawonga South
8,Alpine,3699,Mount Beauty
9,Alpine,3737,Barwidgee
10,Alpine,3737,Buffalo River
11,Alpine,3737,Gapsted
12,Alpine,3737,Merriang South
13,Alpine,3737,Myrtleford
14,Alpine,3738,Ovens
15,Alpine,3739,Eurobin
16,Alpine,3740,Buckland
17,Alpine,3740,Mount Buffalo
18,Alpine,3740,Porepunkah
19,Alpine,3741,Bright
20,Alpine,3741,Freeburgh
21,Alpine,3741,Harrietville
22,Alpine,3741,Smoko
23,Alpine,3744,Wandiligong
24,Ararat,3351,Lake Bolac
25,Ararat,3351,Nerrin Nerrin
26,Ararat,3351,Streatham
27,Ararat,3351,Westmere
28,Ararat,3375,Buangor
29,Ararat,3377,Ararat
30,Ararat,3377,Armstrong
31,Ararat,3377,Cathcart
32,Ararat,3377,Dobie
33,Ararat,3377,Langi Logan
34,Ararat,3377,Maroona
35,Ararat,3377,Moyston
36,Ararat,3377,Rhymney
37,Ararat,3377,Rossbridge
38,Ararat,3377,Warrak
39,Ararat,3379,Mafeking
40,Ararat,3379,Wickliffe
41,Ararat,3379,Willaura
42,Ararat,3379,Willaura North
43,Ararat,3381,Pomonal
44,Ararat,3469,Elmhurst
45,Ballarat,3350,Alfredton
46,Ballarat,3350,Bakery Hill
47,Ballarat,3350,Ballarat Central
48,Ballarat,3350,Ballarat East
49,Ballarat,3350,Ballarat North
50,Ballarat,3350,Black Hill
51,Ballarat,3350,Brown Hill
52,Ballarat,3350,Canadian
53,Ballarat,3350,Eureka
54,Ballarat,3350,Golden Point
55,Ballarat,3350,Invermay Park
56,Ballarat,3350,Lake Wendouree
57,Ballarat,3350,Lucas
58,Ballarat,3350,Mount Clear
59,Ballarat,3350,Mount Helen
60,Ballarat,3350,Mount Pleasant
61,Ballarat,3350,Nerrina
62,Ballarat,3350,Newington
63,Ballarat,3350,Redan
64,Ballarat,3350,Soldiers Hill
65,Ballarat,3351,Smythes Creek
66,Ballarat,3352,Addington
67,Ballarat,3352,Blowhard
68,Ballarat,3352,Bonshaw
69,Ballarat,3352,Bunkers Hill
70,Ballarat,3352,Burrumbeet
71,Ballarat,3352,Cardigan
72,Ballarat,3352,Cardigan Village
73,Ballarat,3352,Durham Lead
74,Ballarat,3352,Ercildoune
75,Ballarat,3352,Glen Park
76,Ballarat,3352,Invermay
77,Ballarat,3352,Learmonth
78,Ballarat,3352,Magpie
79,Ballarat,3352,Miners Rest
80,Ballarat,3352,Mount Rowan
81,Ballarat,3352,Scotchmans Lead
82,Ballarat,3352,Scotsburn
83,Ballarat,3352,Sulky
84,Ballarat,3352,Warrenheip
85,Ballarat,3352,Weatherboard
86,Ballarat,3352,Windermere
87,Ballarat,3355,Lake Gardens
88,Ballarat,3355,Mitchell Park
89,Ballarat,3355,Wendouree
90,Ballarat,3356,Delacombe
91,Ballarat,3356,Sebastopol
92,Ballarat,3357,Buninyong
93,Ballarat,3358,Winter Valley
94,Ballarat,3363,Tourello
95,Ballarat,3364,Ascot
96,Ballarat,3364,Bald Hills
97,Ballarat,3364,Coghills Creek
98,Ballarat,3364,Glendonald
99,Banyule,3079,Ivanhoe
100,Banyule,3079,Ivanhoe East
101,Banyule,3081,Bellfield
102,Banyule,3081,Heidelberg Heights
103,Banyule,3081,Heidelberg West
104,Banyule,3083,Bundoora
105,Banyule,3084,Eaglemont
106,Banyule,3084,Heidelberg
107,Banyule,3084,Ivanhoe East
108,Banyule,3084,Rosanna
109,Banyule,3084,Viewbank
110,Banyule,3085,Macleod
111,Banyule,3085,Yallambie
112,Banyule,3087,Watsonia
113,Banyule,3087,Watsonia North
114,Banyule,3088,Briar Hill
115,Banyule,3088,Greensborough
116,Banyule,3088,St Helena
117,Banyule,3093,Lower Plenty
118,Banyule,3094,Montmorency
119,Banyule,3095,Eltham North
120,Bass Coast,3922,Cowes
121,Bass Coast,3922,Silverleaves
122,Bass Coast,3922,Smiths Beach
123,Bass Coast,3922,Summerlands
124,Bass Coast,3922,Sunderland Bay
125,Bass Coast,3922,Sunset Strip
126,Bass Coast,3922,Surf Beach
127,Bass Coast,3922,Ventnor
128,Bass Coast,3922,Wimbledon Heights
129,Bass Coast,3923,Rhyll
130,Bass Coast,3925,Cape Woolamai
131,Bass Coast,3925,Newhaven
132,Bass Coast,3925,San Remo
133,Bass Coast,3945,Krowera
134,Bass Coast,3945,Loch
135,Bass Coast,3945,Woodleigh
136,Bass Coast,3951,Kongwak
137,Bass Coast,3979,Almurta
138,Bass Coast,3979,Glen Alvie
139,Bass Coast,3979,Kernot
140,Bass Coast,3984,Adams Estate
141,Bass Coast,3984,Corinella
142,Bass Coast,3984,Coronet Bay
143,Bass Coast,3984,Grantville
144,Bass Coast,3984,Jam Jerrup
145,Bass Coast,3984,Lang Lang
146,Bass Coast,3984,Pioneer Bay
147,Bass Coast,3984,The Gurdies
148,Bass Coast,3990,Glen Forbes
149,Bass Coast,3991,Bass
150,Bass Coast,3992,Dalyston
151,Bass Coast,3992,Ryanston
152,Bass Coast,3992,West Creek
153,Bass Coast,3995,Archies Creek
154,Bass Coast,3995,Cape Paterson
155,Bass Coast,3995,Harmers Haven
156,Bass Coast,3995,Kilcunda
157,Bass Coast,3995,Lance Creek
158,Bass Coast,3995,North Wonthaggi
159,Bass Coast,3995,South Dudley
160,Bass Coast,3995,St Clair
161,Bass Coast,3995,Wattle Bank
162,Bass Coast,3995,Wonthaggi
163,Bass Coast,3995,Woolamai
164,Bass Coast,3996,Inverloch
165,Bass Coast,3996,Pound Creek
166,Baw Baw,3816,Labertouche
167,Baw Baw,3816,Longwarry
168,Baw Baw,3816,Longwarry North
169,Baw Baw,3816,Modella
170,Baw Baw,3818,Athlone
171,Baw Baw,3818,Drouin
172,Baw Baw,3818,Drouin East
173,Baw Baw,3818,Drouin South
174,Baw Baw,3818,Drouin West
175,Baw Baw,3818,Hallora
176,Baw Baw,3818,Jindivick
177,Baw Baw,3818,Ripplebrook
178,Baw Baw,3820,Bona Vista
179,Baw Baw,3820,Warragul
180,Baw Baw,3821,Brandy Creek
181,Baw Baw,3821,Bravington
