OSDID,ODID,Offence Subdivision
0,0,A20 Assault and related offences
1,1,B40 Theft
2,2,D10 Weapons and explosives offences
3,1,B50 Deception
4,1,B30 Burglary/Break and enter
5,0,"A70 Stalking, harassment and threatening behaviour"
6,0,Other crimes against the person
7,1,B20 Property damage
8,3,C10 Drug dealing and trafficking
9,2,D20 Disorderly and offensive conduct
10,4,E20 Breaches of orders
11,3,C30 Drug use and possession
12,5,F90 Miscellaneous offences
13,4,E10 Justice procedures
14,1,B10 Arson
15,2,D30 Public nuisance offences
16,5,F10 Regulatory driving offences
17,0,A80 Dangerous and negligent acts endangering people
18,3,C20 Cultivate or manufacture drugs
19,0,A50 Robbery
20,5,F30 Other government regulatory offences
21,5,F20 Transport regulation offences
22,2,D40 Public security offences
23,3,C90 Other drug offences
24,1,B60 Bribery
