Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2023,December,1 North West Metro,Banyule,"8,072","6,256.3"
2023,December,1 North West Metro,Brimbank,"17,044","8,666.6"
2023,December,1 North West Metro,Darebin,"13,715","8,823.9"
2023,December,1 North West Metro,Hobsons Bay,"5,720","6,143.2"
2023,December,1 North West Metro,Hume,"18,342","7,030.8"
2023,December,1 North West Metro,Maribyrnong,"9,713","10,384.4"
2023,December,1 North West Metro,Melbourne,"37,764","21,405.7"
2023,December,1 North West Metro,Melton,"12,862","6,224.0"
2023,December,1 North West Metro,Merri-bek,"12,750","7,049.7"
2023,December,1 North West Metro,Moonee Valley,"8,020","6,354.3"
2023,December,1 North West Metro,Nillumbik,"1,776","2,806.6"
2023,December,1 North West Metro,Whittlesea,"13,199","5,395.8"
2023,December,1 North West Metro,Wyndham,"18,574","5,746.8"
2023,December,1 North West Metro,Yarra,"12,835","13,072.3"
2023,December,1 North West Metro,Total,"190,386","8,108.2"
2023,December,2 Eastern,Alpine,519,"3,921.7"
2023,December,2 Eastern,Bass Coast,"2,957","6,924.1"
2023,December,2 Eastern,Baw Baw,"4,496","7,412.0"
2023,December,2 Eastern,Benalla,"1,515","10,453.5"
2023,December,2 Eastern,Boroondara,"7,868","4,515.9"
2023,December,2 Eastern,East Gippsland,"5,279","10,687.6"
2023,December,2 Eastern,Greater Shepparton,"8,503","12,215.8"
2023,December,2 Eastern,Indigo,657,"3,741.3"
2023,December,2 Eastern,Knox,"10,162","6,315.4"
2023,December,2 Eastern,Latrobe,"11,863","15,187.3"
2023,December,2 Eastern,Manningham,"4,817","3,764.3"
2023,December,2 Eastern,Mansfield,601,"5,726.7"
2023,December,2 Eastern,Maroondah,"7,666","6,548.0"
2023,December,2 Eastern,Mitchell,"4,163","7,613.3"
2023,December,2 Eastern,Moira,"2,582","8,404.7"
2023,December,2 Eastern,Monash,"13,629","6,832.2"
2023,December,2 Eastern,Murrindindi,824,"5,304.9"
2023,December,2 Eastern,South Gippsland,"2,264","7,315.8"
2023,December,2 Eastern,Strathbogie,529,"4,549.1"
2023,December,2 Eastern,Towong,284,"4,580.7"
2023,December,2 Eastern,Wangaratta,"2,715","9,030.9"
2023,December,2 Eastern,Wellington,"4,681","10,146.6"
2023,December,2 Eastern,Whitehorse,"9,916","5,627.9"
2023,December,2 Eastern,Wodonga,"4,372","9,871.2"
2023,December,2 Eastern,Yarra Ranges,"7,113","4,478.3"
2023,December,2 Eastern,Total,"119,975","6,890.6"
2023,December,3 Southern Metro,Bayside,"5,605","5,422.0"
2023,December,3 Southern Metro,Cardinia,"7,108","5,587.6"
2023,December,3 Southern Metro,Casey,"23,432","5,982.9"
2023,December,3 Southern Metro,Frankston,"14,953","10,490.5"
2023,December,3 Southern Metro,Glen Eira,"7,662","4,948.3"
2023,December,3 Southern Metro,Greater Dandenong,"18,774","11,610.9"
2023,December,3 Southern Metro,Kingston,"12,594","7,762.3"
2023,December,3 Southern Metro,Mornington Peninsula,"9,928","5,812.8"
2023,December,3 Southern Metro,Port Phillip,"12,727","11,447.1"
2023,December,3 Southern Metro,Stonnington,"11,214","10,020.7"
2023,December,3 Southern Metro,Total,"123,997","7,572.6"
2023,December,4 Western,Ararat,"1,410","11,956.8"
2023,December,4 Western,Ballarat,"11,715","9,931.7"
2023,December,4 Western,Buloke,429,"7,042.0"
2023,December,4 Western,Campaspe,"3,925","10,154.4"
2023,December,4 Western,Central Goldfields,"1,212","8,916.6"
2023,December,4 Western,Colac-Otway,"1,471","6,594.6"
2023,December,4 Western,Corangamite,729,"4,577.0"
2023,December,4 Western,Gannawarra,995,"9,502.7"
2023,December,4 Western,Glenelg,"1,645","8,216.2"
2023,December,4 Western,Golden Plains,729,"2,832.5"
2023,December,4 Western,Greater Bendigo,"11,276","9,072.0"
2023,December,4 Western,Greater Geelong,"22,601","8,009.4"
2023,December,4 Western,Hepburn,710,"4,261.5"
2023,December,4 Western,Hindmarsh,307,"5,528.0"
2023,December,4 Western,Horsham,"2,756","13,531.7"
2023,December,4 Western,Loddon,453,"5,844.9"
2023,December,4 Western,Macedon Ranges,"2,131","4,030.1"
2023,December,4 Western,Mildura,"8,071","14,036.6"
2023,December,4 Western,Moorabool,"2,593","6,573.3"
2023,December,4 Western,Mount Alexander,"1,094","5,342.6"
