Year,Year ending,Local Government Area,Investigation Status,Offence Count
2023,December,Alpine,Arrest/Summons,274
2023,December,Alpine,Not authorised,26
2023,December,Alpine,Other,72
2023,December,Alpine,Unsolved,147
2023,December,Ararat,Arrest/Summons,705
2023,December,Ararat,Not authorised,63
2023,December,Ararat,Other,223
2023,December,Ararat,Unsolved,419
2023,December,Ballarat,Arrest/Summons,"4,999"
2023,December,Ballarat,Not authorised,286
2023,December,Ballarat,Other,"1,192"
2023,December,Ballarat,Unsolved,"5,238"
2023,December,Banyule,Arrest/Summons,"4,008"
2023,December,Banyule,Not authorised,356
2023,December,Banyule,Other,683
2023,December,Banyule,Unsolved,"3,025"
2023,December,Bass Coast,Arrest/Summons,"1,296"
2023,December,Bass Coast,Not authorised,209
2023,December,Bass Coast,Other,501
2023,December,Bass Coast,Unsolved,951
2023,December,Baw Baw,Arrest/Summons,"2,247"
2023,December,Baw Baw,Not authorised,236
2023,December,Baw Baw,Other,698
2023,December,Baw Baw,Unsolved,"1,315"
2023,December,Bayside,Arrest/Summons,"1,542"
2023,December,Bayside,Not authorised,356
2023,December,Bayside,Other,607
2023,December,Bayside,Unsolved,"3,100"
2023,December,Benalla,Arrest/Summons,759
2023,December,Benalla,Not authorised,84
2023,December,Benalla,Other,213
2023,December,Benalla,Unsolved,459
2023,December,Boroondara,Arrest/Summons,"2,467"
2023,December,Boroondara,Not authorised,309
2023,December,Boroondara,Other,669
2023,December,Boroondara,Unsolved,"4,423"
2023,December,Brimbank,Arrest/Summons,"7,417"
2023,December,Brimbank,Not authorised,646
2023,December,Brimbank,Other,"1,356"
2023,December,Brimbank,Unsolved,"7,625"
2023,December,Buloke,Arrest/Summons,164
2023,December,Buloke,Not authorised,17
2023,December,Buloke,Other,147
2023,December,Buloke,Unsolved,101
2023,December,Campaspe,Arrest/Summons,"1,815"
2023,December,Campaspe,Not authorised,155
2023,December,Campaspe,Other,442
2023,December,Campaspe,Unsolved,"1,513"
2023,December,Cardinia,Arrest/Summons,"2,903"
2023,December,Cardinia,Not authorised,306
2023,December,Cardinia,Other,967
2023,December,Cardinia,Unsolved,"2,932"
2023,December,Casey,Arrest/Summons,"9,395"
2023,December,Casey,Not authorised,"1,164"
2023,December,Casey,Other,"2,688"
2023,December,Casey,Unsolved,"10,185"
2023,December,Central Goldfields,Arrest/Summons,640
2023,December,Central Goldfields,Not authorised,24
2023,December,Central Goldfields,Other,188
2023,December,Central Goldfields,Unsolved,360
2023,December,Colac-Otway,Arrest/Summons,841
2023,December,Colac-Otway,Not authorised,94
2023,December,Colac-Otway,Other,181
2023,December,Colac-Otway,Unsolved,355
2023,December,Corangamite,Arrest/Summons,323
2023,December,Corangamite,Not authorised,21
2023,December,Corangamite,Other,115
2023,December,Corangamite,Unsolved,270
2023,December,Darebin,Arrest/Summons,"5,657"
2023,December,Darebin,Not authorised,575
2023,December,Darebin,Other,"1,103"
2023,December,Darebin,Unsolved,"6,380"
2023,December,East Gippsland,Arrest/Summons,"2,600"
2023,December,East Gippsland,Not authorised,432
2023,December,East Gippsland,Other,783
2023,December,East Gippsland,Unsolved,"1,464"
2023,December,Frankston,Arrest/Summons,"7,926"
2023,December,Frankston,Not authorised,829
2023,December,Frankston,Other,"1,374"
2023,December,Frankston,Unsolved,"4,824"
2023,December,Gannawarra,Arrest/Summons,522
2023,December,Gannawarra,Not authorised,78
2023,December,Gannawarra,Other,119
2023,December,Gannawarra,Unsolved,276
2023,December,Glen Eira,Arrest/Summons,"2,318"
2023,December,Glen Eira,Not authorised,286
2023,December,Glen Eira,Other,798
2023,December,Glen Eira,Unsolved,"4,260"
2023,December,Glenelg,Arrest/Summons,957
2023,December,Glenelg,Not authorised,74
2023,December,Glenelg,Other,242
2023,December,Glenelg,Unsolved,372
2023,December,Golden Plains,Arrest/Summons,256
2023,December,Golden Plains,Not authorised,49
2023,December,Golden Plains,Other,78
2023,December,Golden Plains,Unsolved,346
2023,December,Greater Bendigo,Arrest/Summons,"5,616"
2023,December,Greater Bendigo,Not authorised,397
2023,December,Greater Bendigo,Other,"1,391"
2023,December,Greater Bendigo,Unsolved,"3,872"
2023,December,Greater Dandenong,Arrest/Summons,"8,448"
2023,December,Greater Dandenong,Not authorised,631
2023,December,Greater Dandenong,Other,"1,708"
2023,December,Greater Dandenong,Unsolved,"7,987"
2023,December,Greater Geelong,Arrest/Summons,"10,606"
2023,December,Greater Geelong,Not authorised,943
2023,December,Greater Geelong,Other,"1,893"
2023,December,Greater Geelong,Unsolved,"9,159"
2023,December,Greater Shepparton,Arrest/Summons,"4,728"
2023,December,Greater Shepparton,Not authorised,356
2023,December,Greater Shepparton,Other,931
2023,December,Greater Shepparton,Unsolved,"2,488"
2023,December,Hepburn,Arrest/Summons,304
2023,December,Hepburn,Not authorised,29
2023,December,Hepburn,Other,64
2023,December,Hepburn,Unsolved,313
2023,December,Hindmarsh,Arrest/Summons,124
2023,December,Hindmarsh,Not authorised,12
2023,December,Hindmarsh,Other,69
2023,December,Hindmarsh,Unsolved,102
2023,December,Hobsons Bay,Arrest/Summons,"2,384"
2023,December,Hobsons Bay,Not authorised,260
2023,December,Hobsons Bay,Other,549
2023,December,Hobsons Bay,Unsolved,"2,527"
2023,December,Horsham,Arrest/Summons,"1,600"
2023,December,Horsham,Not authorised,147
2023,December,Horsham,Other,382
2023,December,Horsham,Unsolved,627
2023,December,Hume,Arrest/Summons,"7,990"
2023,December,Hume,Not authorised,783
2023,December,Hume,Other,"2,061"
2023,December,Hume,Unsolved,"7,508"
2023,December,Indigo,Arrest/Summons,309
2023,December,Indigo,Not authorised,30
2023,December,Indigo,Other,86
2023,December,Indigo,Unsolved,232
2023,December,Kingston,Arrest/Summons,"5,400"
2023,December,Kingston,Not authorised,507
2023,December,Kingston,Other,"1,255"
2023,December,Kingston,Unsolved,"5,432"
2023,December,Knox,Arrest/Summons,"4,470"
2023,December,Knox,Not authorised,611
2023,December,Knox,Other,"1,351"
2023,December,Knox,Unsolved,"3,730"
2023,December,Latrobe,Arrest/Summons,"5,812"
2023,December,Latrobe,Not authorised,825
2023,December,Latrobe,Other,"1,964"
2023,December,Latrobe,Unsolved,"3,262"
2023,December,Loddon,Arrest/Summons,189
2023,December,Loddon,Not authorised,23
2023,December,Loddon,Other,31
2023,December,Loddon,Unsolved,210
2023,December,Macedon Ranges,Arrest/Summons,995
2023,December,Macedon Ranges,Not authorised,94
2023,December,Macedon Ranges,Other,238
2023,December,Macedon Ranges,Unsolved,804
2023,December,Manningham,Arrest/Summons,"1,708"
2023,December,Manningham,Not authorised,175
2023,December,Manningham,Other,520
2023,December,Manningham,Unsolved,"2,414"
2023,December,Mansfield,Arrest/Summons,271
2023,December,Mansfield,Not authorised,46
2023,December,Mansfield,Other,103
2023,December,Mansfield,Unsolved,181
2023,December,Maribyrnong,Arrest/Summons,"3,349"
2023,December,Maribyrnong,Not authorised,201
2023,December,Maribyrnong,Other,900
2023,December,Maribyrnong,Unsolved,"5,263"
2023,December,Maroondah,Arrest/Summons,"3,903"
2023,December,Maroondah,Not authorised,358
2023,December,Maroondah,Other,"1,137"
2023,December,Maroondah,Unsolved,"2,268"
2023,December,Melbourne,Arrest/Summons,"16,816"
2023,December,Melbourne,Not authorised,763
2023,December,Melbourne,Other,"3,320"
2023,December,Melbourne,Unsolved,"16,865"
2023,December,Melton,Arrest/Summons,"5,806"
2023,December,Melton,Not authorised,397
2023,December,Melton,Other,"1,125"
2023,December,Melton,Unsolved,"5,534"
2023,December,Merri-bek,Arrest/Summons,"4,533"
2023,December,Merri-bek,Not authorised,349
2023,December,Merri-bek,Other,"1,187"
2023,December,Merri-bek,Unsolved,"6,681"
2023,December,Mildura,Arrest/Summons,"3,885"
2023,December,Mildura,Not authorised,380
2023,December,Mildura,Other,"1,185"
2023,December,Mildura,Unsolved,"2,621"
2023,December,Mitchell,Arrest/Summons,"2,077"
2023,December,Mitchell,Not authorised,233
2023,December,Mitchell,Other,608
2023,December,Mitchell,Unsolved,"1,245"
2023,December,Moira,Arrest/Summons,"1,554"
2023,December,Moira,Not authorised,99
2023,December,Moira,Other,224
2023,December,Moira,Unsolved,705
2023,December,Monash,Arrest/Summons,"5,036"
2023,December,Monash,Not authorised,485
2023,December,Monash,Other,"1,083"
2023,December,Monash,Unsolved,"7,025"
2023,December,Moonee Valley,Arrest/Summons,"3,173"
2023,December,Moonee Valley,Not authorised,353
2023,December,Moonee Valley,Other,725
2023,December,Moonee Valley,Unsolved,"3,769"
2023,December,Moorabool,Arrest/Summons,"1,299"
2023,December,Moorabool,Not authorised,90
2023,December,Moorabool,Other,251
2023,December,Moorabool,Unsolved,953
2023,December,Mornington Peninsula,Arrest/Summons,"4,429"
2023,December,Mornington Peninsula,Not authorised,543
2023,December,Mornington Peninsula,Other,"1,248"
2023,December,Mornington Peninsula,Unsolved,"3,708"
2023,December,Mount Alexander,Arrest/Summons,419
2023,December,Mount Alexander,Not authorised,44
2023,December,Mount Alexander,Other,133
2023,December,Mount Alexander,Unsolved,498
2023,December,Moyne,Arrest/Summons,323
2023,December,Moyne,Not authorised,15
2023,December,Moyne,Other,80
2023,December,Moyne,Unsolved,207
2023,December,Murrindindi,Arrest/Summons,320
2023,December,Murrindindi,Not authorised,55
2023,December,Murrindindi,Other,146
2023,December,Murrindindi,Unsolved,303
2023,December,Nillumbik,Arrest/Summons,761
2023,December,Nillumbik,Not authorised,117
2023,December,Nillumbik,Other,244
2023,December,Nillumbik,Unsolved,654
2023,December,Northern Grampians,Arrest/Summons,573
2023,December,Northern Grampians,Not authorised,74
2023,December,Northern Grampians,Other,159
2023,December,Northern Grampians,Unsolved,270
2023,December,Port Phillip,Arrest/Summons,"4,541"
2023,December,Port Phillip,Not authorised,372
2023,December,Port Phillip,Other,"1,175"
2023,December,Port Phillip,Unsolved,"6,639"
2023,December,Pyrenees,Arrest/Summons,150
2023,December,Pyrenees,Not authorised,29
2023,December,Pyrenees,Other,39
2023,December,Pyrenees,Unsolved,151
2023,December,Queenscliffe,Arrest/Summons,31
2023,December,Queenscliffe,Not authorised,5
2023,December,Queenscliffe,Other,4
2023,December,Queenscliffe,Unsolved,53
2023,December,South Gippsland,Arrest/Summons,"1,183"
2023,December,South Gippsland,Not authorised,131
2023,December,South Gippsland,Other,339
2023,December,South Gippsland,Unsolved,611
2023,December,Southern Grampians,Arrest/Summons,816
2023,December,Southern Grampians,Not authorised,43
2023,December,Southern Grampians,Other,154
2023,December,Southern Grampians,Unsolved,214
2023,December,Stonnington,Arrest/Summons,"3,865"
2023,December,Stonnington,Not authorised,314
2023,December,Stonnington,Other,"1,191"
2023,December,Stonnington,Unsolved,"5,844"
2023,December,Strathbogie,Arrest/Summons,193
2023,December,Strathbogie,Not authorised,35
2023,December,Strathbogie,Other,51
2023,December,Strathbogie,Unsolved,250
2023,December,Surf Coast,Arrest/Summons,509
2023,December,Surf Coast,Not authorised,61
2023,December,Surf Coast,Other,138
2023,December,Surf Coast,Unsolved,543
2023,December,Swan Hill,Arrest/Summons,"1,291"
2023,December,Swan Hill,Not authorised,157
2023,December,Swan Hill,Other,342
2023,December,Swan Hill,Unsolved,432
2023,December,Towong,Arrest/Summons,166
2023,December,Towong,Not authorised,15
2023,December,Towong,Other,26
2023,December,Towong,Unsolved,77
2023,December,Wangaratta,Arrest/Summons,"1,462"
2023,December,Wangaratta,Not authorised,108
2023,December,Wangaratta,Other,400
2023,December,Wangaratta,Unsolved,745
2023,December,Warrnambool,Arrest/Summons,"1,947"
2023,December,Warrnambool,Not authorised,117
2023,December,Warrnambool,Other,331
2023,December,Warrnambool,Unsolved,771
2023,December,Wellington,Arrest/Summons,"2,476"
2023,December,Wellington,Not authorised,439
2023,December,Wellington,Other,676
2023,December,Wellington,Unsolved,"1,090"
2023,December,West Wimmera,Arrest/Summons,92
2023,December,West Wimmera,Not authorised,13
2023,December,West Wimmera,Other,24
2023,December,West Wimmera,Unsolved,58
2023,December,Whitehorse,Arrest/Summons,"3,593"
2023,December,Whitehorse,Not authorised,322
2023,December,Whitehorse,Other,918
2023,December,Whitehorse,Unsolved,"5,083"
2023,December,Whittlesea,Arrest/Summons,"5,843"
2023,December,Whittlesea,Not authorised,998
2023,December,Whittlesea,Other,"1,481"
2023,December,Whittlesea,Unsolved,"4,877"
2023,December,Wodonga,Arrest/Summons,"2,180"
2023,December,Wodonga,Not authorised,129
2023,December,Wodonga,Other,486
2023,December,Wodonga,Unsolved,"1,577"
2023,December,Wyndham,Arrest/Summons,"7,839"
2023,December,Wyndham,Not authorised,635
2023,December,Wyndham,Other,"1,922"
2023,December,Wyndham,Unsolved,"8,178"
2023,December,Yarra,Arrest/Summons,"4,699"
2023,December,Yarra,Not authorised,380
2023,December,Yarra,Other,947
2023,December,Yarra,Unsolved,"6,809"
2023,December,Yarra Ranges,Arrest/Summons,"3,314"
2023,December,Yarra Ranges,Not authorised,452
2023,December,Yarra Ranges,Other,"1,139"
2023,December,Yarra Ranges,Unsolved,"2,208"
2023,December,Yarriambiack,Arrest/Summons,164
2023,December,Yarriambiack,Not authorised,21
2023,December,Yarriambiack,Other,58
2023,December,Yarriambiack,Unsolved,170
2022,December,Alpine,Arrest/Summons,213
2022,December,Alpine,Not authorised,37
2022,December,Alpine,Other,62
2022,December,Alpine,Unsolved,147
2022,December,Ararat,Arrest/Summons,804
2022,December,Ararat,Not authorised,74
2022,December,Ararat,Other,134
2022,December,Ararat,Unsolved,330
2022,December,Ballarat,Arrest/Summons,"5,517"
2022,December,Ballarat,Not authorised,514
2022,December,Ballarat,Other,671
2022,December,Ballarat,Unsolved,"4,251"
2022,December,Banyule,Arrest/Summons,"4,494"
2022,December,Banyule,Not authorised,596
2022,December,Banyule,Other,452
2022,December,Banyule,Unsolved,"2,140"
2022,December,Bass Coast,Arrest/Summons,"1,472"
2022,December,Bass Coast,Not authorised,314
2022,December,Bass Coast,Other,312
2022,December,Bass Coast,Unsolved,731
2022,December,Baw Baw,Arrest/Summons,"2,388"
2022,December,Baw Baw,Not authorised,354
2022,December,Baw Baw,Other,475
2022,December,Baw Baw,Unsolved,922
2022,December,Bayside,Arrest/Summons,"1,906"
2022,December,Bayside,Not authorised,366
2022,December,Bayside,Other,372
2022,December,Bayside,Unsolved,"2,310"
2022,December,Benalla,Arrest/Summons,729
2022,December,Benalla,Not authorised,116
2022,December,Benalla,Other,139
2022,December,Benalla,Unsolved,341
2022,December,Boroondara,Arrest/Summons,"2,492"
2022,December,Boroondara,Not authorised,462
2022,December,Boroondara,Other,446
2022,December,Boroondara,Unsolved,"3,679"
2022,December,Brimbank,Arrest/Summons,"8,823"
2022,December,Brimbank,Not authorised,999
2022,December,Brimbank,Other,884
2022,December,Brimbank,Unsolved,"6,021"
2022,December,Buloke,Arrest/Summons,146
2022,December,Buloke,Not authorised,21
2022,December,Buloke,Other,61
2022,December,Buloke,Unsolved,61
2022,December,Campaspe,Arrest/Summons,"1,550"
2022,December,Campaspe,Not authorised,233
2022,December,Campaspe,Other,321
2022,December,Campaspe,Unsolved,"1,234"
2022,December,Cardinia,Arrest/Summons,"3,072"
2022,December,Cardinia,Not authorised,547
2022,December,Cardinia,Other,609
2022,December,Cardinia,Unsolved,"1,931"
2022,December,Casey,Arrest/Summons,"10,342"
2022,December,Casey,Not authorised,"1,964"
2022,December,Casey,Other,"1,625"
2022,December,Casey,Unsolved,"7,018"
2022,December,Central Goldfields,Arrest/Summons,681
2022,December,Central Goldfields,Not authorised,122
2022,December,Central Goldfields,Other,115
2022,December,Central Goldfields,Unsolved,256
2022,December,Colac-Otway,Arrest/Summons,885
2022,December,Colac-Otway,Not authorised,156
2022,December,Colac-Otway,Other,152
2022,December,Colac-Otway,Unsolved,358
2022,December,Corangamite,Arrest/Summons,360
2022,December,Corangamite,Not authorised,38
2022,December,Corangamite,Other,77
2022,December,Corangamite,Unsolved,207
2022,December,Darebin,Arrest/Summons,"6,397"
2022,December,Darebin,Not authorised,774
2022,December,Darebin,Other,775
2022,December,Darebin,Unsolved,"4,725"
